Outlet,Total_Events_Covered,Exclusive_Events,Exclusive_Rate_%,Shared_Events_Covered,Shared_Events_Missed,Major_Coverage_Share_%,Avg_Delay_Hours
hindustan_times,23,15,65.2,8,13,38.1,5.46
india_today,15,7,46.7,8,13,38.1,15.38
news18,15,8,53.3,7,14,33.3,16.19
the_hindu,20,15,75.0,5,16,23.8,6.92
the_new_indian_express,8,3,37.5,5,16,23.8,11.12
indian_express,24,19,79.2,5,16,23.8,8.52
ndtv,17,12,70.6,5,16,23.8,8.33
the_times_of_india,23,18,78.3,5,16,23.8,4.5
theprint,15,10,66.7,5,16,23.8,6.07
firstpost,14,10,71.4,4,17,19.0,5.5
deccan_herald,7,6,85.7,1,20,4.8,8.77
